sequence_id,model,tau,pck_percent_mean,frames_used
outdoors_parcours_00,vibe,1.0,99.866368,1657
outdoors_parcours_01,mp,0.1,14.058269,1319
outdoors_parcours_01,mp,0.2,27.656233,1319
outdoors_parcours_01,mp,0.3,45.656883,1319
outdoors_parcours_01,mp,0.4,63.857901,1319
outdoors_parcours_01,mp,0.5,77.76454,1319
outdoors_parcours_01,mp,0.6,85.676378,1319
outdoors_parcours_01,mp,0.8,94.757933,1319
outdoors_parcours_01,mp,1.0,98.18044,1319
outdoors_parcours_01,vibe,0.1,29.205025,1319
outdoors_parcours_01,vibe,0.2,58.052637,1319
outdoors_parcours_01,vibe,0.3,76.589408,1319
outdoors_parcours_01,vibe,0.4,88.059136,1319
outdoors_parcours_01,vibe,0.5,94.275967,1319
outdoors_parcours_01,vibe,0.6,97.113614,1319
outdoors_parcours_01,vibe,0.8,99.442218,1319
outdoors_parcours_01,vibe,1.0,99.832124,1319
outdoors_slalom_00,mp,0.1,14.219982,326
outdoors_slalom_00,mp,0.2,28.352323,326
outdoors_slalom_00,mp,0.3,48.531989,326
outdoors_slalom_00,mp,0.4,71.340929,326
outdoors_slalom_00,mp,0.5,83.523225,326
outdoors_slalom_00,mp,0.6,89.548642,326
outdoors_slalom_00,mp,0.8,96.516214,326
outdoors_slalom_00,mp,1.0,98.92638,326
outdoors_slalom_00,vibe,0.1,50.985977,326
outdoors_slalom_00,vibe,0.2,82.668712,326
outdoors_slalom_00,vibe,0.3,94.697634,326
outdoors_slalom_00,vibe,0.4,98.247152,326
outdoors_slalom_00,vibe,0.5,99.189308,326
outdoors_slalom_00,vibe,0.6,99.583699,326
outdoors_slalom_00,vibe,0.8,99.934268,326
outdoors_slalom_00,vibe,1.0,99.978089,326
outdoors_slalom_01,mp,0.1,13.063063,333
outdoors_slalom_01,mp,0.2,26.962677,333
outdoors_slalom_01,mp,0.3,47.554698,333
outdoors_slalom_01,mp,0.4,69.54097,333
outdoors_slalom_01,mp,0.5,80.00858,333
outdoors_slalom_01,mp,0.6,87.301587,333
outdoors_slalom_01,mp,0.8,94.165594,333
outdoors_slalom_01,mp,1.0,98.348348,333
outdoors_slalom_01,vibe,0.1,18.168168,333
outdoors_slalom_01,vibe,0.2,39.317889,333
outdoors_slalom_01,vibe,0.3,59.67396,333
outdoors_slalom_01,vibe,0.4,73.895324,333
outdoors_slalom_01,vibe,0.5,83.740884,333
outdoors_slalom_01,vibe,0.6,89.78979,333
outdoors_slalom_01,vibe,0.8,95.216645,333
outdoors_slalom_01,vibe,1.0,98.412698,333
