sequence_id,frame,model,tau,pck_percent,valid_keypoints
courtyard_backpack_00,51,mp,0.6,92.857143,14
courtyard_backpack_00,51,mp,0.8,100.0,14
courtyard_backpack_00,51,mp,1.0,100.0,14
courtyard_backpack_00,52,mp,0.1,14.285714,14
courtyard_backpack_00,52,mp,0.2,14.285714,14
courtyard_backpack_00,52,mp,0.3,28.571429,14
courtyard_backpack_00,52,mp,0.4,50.0,14
courtyard_backpack_00,52,mp,0.5,78.571429,14
courtyard_backpack_00,52,mp,0.6,85.714286,14
courtyard_backpack_00,52,mp,0.8,100.0,14
courtyard_backpack_00,52,mp,1.0,100.0,14
courtyard_backpack_00,53,mp,0.1,14.285714,14
courtyard_backpack_00,53,mp,0.2,14.285714,14
courtyard_backpack_00,53,mp,0.3,35.714286,14
courtyard_backpack_00,53,mp,0.4,50.0,14
courtyard_backpack_00,53,mp,0.5,78.571429,14
courtyard_backpack_00,53,mp,0.6,85.714286,14
courtyard_backpack_00,53,mp,0.8,100.0,14
courtyard_backpack_00,53,mp,1.0,100.0,14
courtyard_backpack_00,54,mp,0.1,14.285714,14
courtyard_backpack_00,54,mp,0.2,14.285714,14
courtyard_backpack_00,54,mp,0.3,28.571429,14
courtyard_backpack_00,54,mp,0.4,50.0,14
courtyard_backpack_00,54,mp,0.5,78.571429,14
courtyard_backpack_00,54,mp,0.6,85.714286,14
courtyard_backpack_00,54,mp,0.8,100.0,14
courtyard_backpack_00,54,mp,1.0,100.0,14
courtyard_backpack_00,55,mp,0.1,14.285714,14
courtyard_backpack_00,55,mp,0.2,14.285714,14
courtyard_backpack_00,55,mp,0.3,21.428571,14
courtyard_backpack_00,55,mp,0.4,50.0,14
courtyard_backpack_00,55,mp,0.5,78.571429,14
courtyard_backpack_00,55,mp,0.6,85.714286,14
courtyard_backpack_00,55,mp,0.8,100.0,14
courtyard_backpack_00,55,mp,1.0,100.0,14
courtyard_backpack_00,56,mp,0.1,14.285714,14
courtyard_backpack_00,56,mp,0.2,14.285714,14
courtyard_backpack_00,56,mp,0.3,28.571429,14
courtyard_backpack_00,56,mp,0.4,50.0,14
courtyard_backpack_00,56,mp,0.5,64.285714,14
courtyard_backpack_00,56,mp,0.6,85.714286,14
courtyard_backpack_00,56,mp,0.8,100.0,14
courtyard_backpack_00,56,mp,1.0,100.0,14
courtyard_backpack_00,57,mp,0.1,14.285714,14
courtyard_backpack_00,57,mp,0.2,14.285714,14
courtyard_backpack_00,57,mp,0.3,28.571429,14
courtyard_backpack_00,57,mp,0.4,50.0,14
courtyard_backpack_00,57,mp,0.5,64.285714,14
courtyard_backpack_00,57,mp,0.6,85.714286,14
courtyard_backpack_00,57,mp,0.8,100.0,14
courtyard_backpack_00,57,mp,1.0,100.0,14
courtyard_backpack_00,58,mp,0.1,14.285714,14
courtyard_backpack_00,58,mp,0.2,14.285714,14
courtyard_backpack_00,58,mp,0.3,28.571429,14
courtyard_backpack_00,58,mp,0.4,50.0,14
courtyard_backpack_00,58,mp,0.5,57.142857,14
courtyard_backpack_00,58,mp,0.6,85.714286,14
courtyard_backpack_00,58,mp,0.8,100.0,14
courtyard_backpack_00,58,mp,1.0,100.0,14
courtyard_backpack_00,59,mp,0.1,14.285714,14
courtyard_backpack_00,59,mp,0.2,14.285714,14
courtyard_backpack_00,59,mp,0.3,28.571429,14
courtyard_backpack_00,59,mp,0.4,50.0,14
courtyard_backpack_00,59,mp,0.5,57.142857,14
courtyard_backpack_00,59,mp,0.6,85.714286,14
courtyard_backpack_00,59,mp,0.8,92.857143,14
courtyard_backpack_00,59,mp,1.0,100.0,14
courtyard_backpack_00,60,mp,0.1,14.285714,14
courtyard_backpack_00,60,mp,0.2,14.285714,14
courtyard_backpack_00,60,mp,0.3,21.428571,14
courtyard_backpack_00,60,mp,0.4,42.857143,14
courtyard_backpack_00,60,mp,0.5,64.285714,14
courtyard_backpack_00,60,mp,0.6,85.714286,14
courtyard_backpack_00,60,mp,0.8,92.857143,14
courtyard_backpack_00,60,mp,1.0,100.0,14
courtyard_backpack_00,61,mp,0.1,14.285714,14
courtyard_backpack_00,61,mp,0.2,14.285714,14
courtyard_backpack_00,61,mp,0.3,21.428571,14
courtyard_backpack_00,61,mp,0.4,42.857143,14
courtyard_backpack_00,61,mp,0.5,64.285714,14
courtyard_backpack_00,61,mp,0.6,85.714286,14
courtyard_backpack_00,61,mp,0.8,92.857143,14
courtyard_backpack_00,61,mp,1.0,100.0,14
courtyard_backpack_00,62,mp,0.1,14.285714,14
courtyard_backpack_00,62,mp,0.2,14.285714,14
courtyard_backpack_00,62,mp,0.3,21.428571,14
courtyard_backpack_00,62,mp,0.4,42.857143,14
courtyard_backpack_00,62,mp,0.5,71.428571,14
courtyard_backpack_00,62,mp,0.6,85.714286,14
courtyard_backpack_00,62,mp,0.8,92.857143,14
courtyard_backpack_00,62,mp,1.0,100.0,14
courtyard_backpack_00,63,mp,0.1,14.285714,14
courtyard_backpack_00,63,mp,0.2,14.285714,14
courtyard_backpack_00,63,mp,0.3,21.428571,14
courtyard_backpack_00,63,mp,0.4,42.857143,14
courtyard_backpack_00,63,mp,0.5,64.285714,14
courtyard_backpack_00,63,mp,0.6,85.714286,14
courtyard_backpack_00,63,mp,0.8,92.857143,14
courtyard_backpack_00,63,mp,1.0,100.0,14
courtyard_backpack_00,64,mp,0.1,14.285714,14
courtyard_backpack_00,64,mp,0.2,14.285714,14
courtyard_backpack_00,64,mp,0.3,21.428571,14
courtyard_backpack_00,64,mp,0.4,42.857143,14
courtyard_backpack_00,64,mp,0.5,71.428571,14
courtyard_backpack_00,64,mp,0.6,85.714286,14
courtyard_backpack_00,64,mp,0.8,92.857143,14
courtyard_backpack_00,64,mp,1.0,100.0,14
courtyard_backpack_00,65,mp,0.1,14.285714,14
courtyard_backpack_00,65,mp,0.2,14.285714,14
